"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"Avr 2002","9.946,22","10.402,07","10.402,07","9.811,57","5,11B","-4,40%"
"Mar 2002","10.403,94","10.111,04","10.673,10","10.111,04","4,56B","2,95%"
"Févr 2002","10.106,13","9.923,04","10.255,24","9.580,32","4,65B","1,88%"
"Jan 2002","9.920,00","10.021,71","10.300,15","9.529,46","248,94M","0,00%"
"Jan 2002","9.920,00","10.021,71","10.300,15","9.529,46","4,96B","-1,01%"
"Déc 2001","10.021,57","9.848,93","10.184,45","9.703,90","222,48M","0,00%"
"Déc 2001","10.021,50","9.848,93","10.184,45","9.703,90","4,27B","1,73%"
"Nov 2001","9.851,56","9.087,45","9.992,79","9.014,46","4,66B","8,56%"
"Oct 2001","9.075,14","8.845,97","9.598,17","8.732,14","5,72B","2,57%"
"Sept 2001","8.847,56","9.946,98","10.182,38","8.062,34","393,05M","0,00%"
"Sept 2001","8.847,56","9.946,98","10.182,38","8.062,34","5,56B","-11,08%"
"Août 2001","9.949,75","10.527,38","10.609,65","9.869,14","4,08B","-5,45%"
"Juill 2001","10.522,81","10.504,95","10.679,12","10.120,89","230,02M","0,00%"
"Juill 2001","10.522,81","10.504,95","10.679,12","10.120,89","4,61B","0,19%"
"Juin 2001","10.502,40","10.913,57","11.196,53","10.394,72","4,89B","-3,75%"
"Mai 2001","10.911,94","10.734,05","11.350,05","10.673,22","4,52B","1,65%"
"Avr 2001","10.734,97","9.877,16","10.906,41","9.375,72","272,38M","0,00%"
"Avr 2001","10.734,97","9.877,16","10.906,41","9.375,72","5,18B","8,67%"
"Mar 2001","9.878,78","10.493,25","10.859,50","9.106,54","6,04B","-5,87%"
"Févr 2001","10.495,28","10.884,82","11.035,14","10.294,01","4,16B","-3,60%"
"Jan 2001","10.887,36","10.790,92","11.028,00","10.468,04","290,79M","0,00%"
"Jan 2001","10.887,36","10.790,92","11.028,00","10.468,04","5,83B","0,93%"
"Déc 2000","10.786,85","10.416,76","10.917,68","10.299,21","5,21B","3,58%"
"Nov 2000","10.414,49","10.966,21","11.006,50","10.292,39","4,68B","-5,07%"
"Oct 2000","10.971,14","10.659,06","10.995,41","9.654,64","297,12M","0,00%"
"Oct 2000","10.971,14","10.659,06","10.995,41","9.654,64","6,26B","3,01%"
"Sept 2000","10.650,92","11.219,54","11.401,19","10.567,32","4,64B","-5,03%"
"Août 2000","11.215,10","10.523,81","11.319,06","10.516,76","3,62B","6,59%"
"Juill 2000","10.521,98","10.450,36","10.874,63","10.393,09","171,24M","0,00%"
"Juill 2000","10.521,98","10.450,36","10.874,63","10.393,09","3,25B","0,71%"
"Juin 2000","10.447,90","10.532,27","10.863,00","10.335,46","3,79B","-0,71%"
"Mai 2000","10.522,34","10.749,42","10.971,24","10.258,81","3,82B","-1,97%"
"Avr 2000","10.733,91","10.863,28","11.425,45","10.201,53","222,28M","-0,00%"
"Avr 2000","10.733,92","10.863,28","11.425,45","10.201,53","4,05B","-1,72%"
"Mar 2000","10.921,93","10.128,11","11.234,65","9.731,81","4,75B","7,84%"
"Févr 2000","10.128,31","10.937,74","11.118,93","9.836,06","3,66B","-7,42%"
"Jan 2000","10.940,53","11.501,85","11.750,28","10.701,64","202,32M","-0,00%"
"Jan 2000","10.940,54","11.501,85","11.750,28","10.701,64","3,83B","-4,84%"
"Déc 1999","11.497,12","10.876,47","11.568,77","10.859,65","3,17B","5,69%"
"Nov 1999","10.877,81","10.730,79","11.112,77","10.536,27","3,25B","1,38%"
"Oct 1999","10.729,87","10.335,69","10.790,02","9.976,02","2,29B","3,80%"
"Sept 1999","10.336,96","10.828,44","11.142,41","10.081,13","1,75B","-4,55%"
"Août 1999","10.829,28","10.654,83","11.365,93","10.549,08","89,01M","0,00%"
"Août 1999","10.829,28","10.654,83","11.365,93","10.549,08","1,82B","1,63%"
"Juill 1999","10.655,15","10.966,05","11.252,27","10.647,86","1,67B","-2,88%"
"Juin 1999","10.970,81","10.561,01","11.003,41","10.409,14","1,77B","3,89%"
"Mai 1999","10.559,74","10.789,04","11.130,67","10.434,26","95,77M","-0,00%"
"Mai 1999","10.559,75","10.789,04","11.130,67","10.434,26","1,84B","-2,13%"
"Avr 1999","10.789,04","9.786,44","10.961,71","9.765,63","2,10B","10,25%"
"Mar 1999","9.786,16","9.307,39","10.085,31","9.211,23","1,95B","5,15%"
"Févr 1999","9.306,57","9.359,60","9.611,33","9.099,04","1,55B","-0,56%"
"Jan 1999","9.358,83","9.184,01","9.647,96","9.063,26","96,45M","0,00%"
"Jan 1999","9.358,82","9.184,01","9.647,96","9.063,26","1,75B","1,93%"
"Déc 1998","9.181,43","9.116,55","9.334,88","8.676,03","1,49B","0,71%"
"Nov 1998","9.116,55","8.595,70","9.380,20","8.595,70","73,06M","0,00%"
"Nov 1998","9.116,55","8.595,70","9.380,20","8.595,70","1,39B","6,10%"
"Oct 1998","8.592,11","7.841,33","8.659,81","7.467,49","1,92B","9,56%"
"Sept 1998","7.842,62","7.545,76","8.182,47","7.400,30","1,90B","4,03%"
"Août 1998","7.539,07","8.883,29","8.886,12","7.539,07","83,79M","0,00%"
"Août 1998","7.539,06","8.883,29","8.886,12","7.539,07","1,64B","-15,13%"
"Juill 1998","8.883,29","8.958,99","9.367,84","8.816,09","1,50B","-0,77%"
"Juin 1998","8.952,01","8.900,95","9.104,72","8.569,88","1,29B","0,58%"
"Mai 1998","8.899,95","9.066,61","9.261,91","8.788,10","1,07B","-1,80%"
"Avr 1998","9.063,36","8.801,56","9.213,33","8.748,74","1,39B","2,99%"
"Mar 1998","8.799,81","8.544,47","8.959,24","8.405,72","56,98M","0,00%"
"Mar 1998","8.799,80","8.544,47","8.959,24","8.405,72","1,19B","2,97%"
"Févr 1998","8.545,72","7.909,99","8.566,89","7.909,99","774,50K","0,00%"
"Févr 1998","8.545,71","7.909,99","8.566,89","7.909,99","1,03B","8,08%"
"Jan 1998","7.906,50","7.910,20","8.035,54","7.443,41","68,90M","0,00%"
"Jan 1998","7.906,50","7.910,49","8.035,54","7.443,41","1,32B","-0,02%"
"Déc 1997","7.908,24","7.825,12","8.166,29","7.576,93","1,16B","1,09%"
"Nov 1997","7.823,10","7.445,80","7.881,07","7.349,99","57,28M","-0,00%"
"Nov 1997","7.823,12","7.443,07","7.881,07","7.349,99","1,07B","5,12%"
"Oct 1997","7.442,08","7.992,17","8.184,70","6.971,32","1,61B","-6,33%"
"Sept 1997","7.945,30","7.631,70","8.035,63","7.580,85","60,11M","0,00%"
"Sept 1997","7.945,25","7.667,25","8.035,63","7.580,85","1,22B","4,24%"
"Août 1997","7.622,42","8.213,78","8.299,49","7.606,86","1,12B","-7,30%"
"Juill 1997","8.222,61","7.692,47","8.282,77","7.667,36","1,27B","7,17%"
"Juin 1997","7.672,80","7.331,00","7.834,06","7.253,78","54,08M","0,00%"
"Juin 1997","7.672,79","7.351,65","7.834,06","7.253,78","1,09B","4,66%"
"Mai 1997","7.331,04","6.980,09","7.394,95","6.913,06","1,05B","4,59%"
"Avr 1997","7.008,99","6.562,33","7.057,55","6.356,37","1,10B","6,46%"
"Mar 1997","6.583,48","6.874,30","7.112,10","6.561,20","51,28M","0,00%"
"Mar 1997","6.583,47","6.836,56","7.112,10","6.561,20","949,17M","-4,28%"
"Févr 1997","6.877,74","6.810,80","7.073,62","6.710,72","42,50M","0,00%"
"Févr 1997","6.877,73","6.813,86","7.073,62","6.710,72","766,00M","0,95%"
"Jan 1997","6.813,09","6.447,50","6.906,60","6.352,83","47,52M","0,00%"
"Jan 1997","6.813,08","6.461,73","6.906,22","6.352,82","1,00B","5,66%"
"Déc 1996","6.448,27","6.520,60","6.587,05","6.236,05","38,72M","0,00%"
"Déc 1996","6.448,26","6.501,58","6.587,05","6.236,05","781,18M","-1,13%"
"Nov 1996","6.521,70","6.036,46","6.589,53","5.998,82","741,54M","8,17%"
"Oct 1996","6.029,38","5.878,81","6.134,11","5.861,67","761,29M","2,50%"
"Sept 1996","5.882,17","5.611,80","5.929,89","5.561,46","33,86M","0,00%"
"Sept 1996","5.882,16","5.581,07","5.929,88","5.561,46","649,32M","4,74%"
"Août 1996","5.616,20","5.534,09","5.739,02","5.524,10","615,81M","1,58%"
"Juill 1996","5.528,91","5.670,14","5.733,31","5.182,32","779,87M","-2,22%"
"Juin 1996","5.654,63","5.643,90","5.742,54","5.580,38","33,98M","0,00%"
"Juin 1996","5.654,62","5.627,29","5.742,54","5.580,38","647,78M","0,20%"
"Mai 1996","5.643,17","5.554,26","5.796,10","5.342,19","801,91M","1,33%"
"Avr 1996","5.569,07","5.609,90","5.697,69","5.415,53","756,53M","-0,32%"
"Mar 1996","5.587,14","5.524,64","5.709,97","5.424,20","831,13M","1,85%"
"Févr 1996","5.485,62","5.387,35","5.659,40","5.348,34","775,58M","1,67%"
"Jan 1996","5.395,30","5.115,70","5.408,67","5.014,52","40,72M","0,00%"
"Jan 1996","5.395,30","5.107,00","5.408,67","5.000,79","851,55M","5,44%"
"Déc 1995","5.117,12","5.074,13","5.235,62","5.031,50","602,28M","0,84%"
"Nov 1995","5.074,49","4.749,34","5.118,93","4.744,64","598,97M","6,71%"
"Oct 1995","4.755,48","4.789,80","4.816,90","4.659,74","32,48M","0,00%"
"Oct 1995","4.755,48","4.786,55","4.816,90","4.659,74","685,56M","-0,70%"
"Sept 1995","4.789,08","4.610,20","4.816,54","4.607,03","702,70M","3,87%"
"Août 1995","4.610,56","4.711,28","4.754,96","4.570,85","623,01M","-2,08%"
"Juill 1995","4.708,47","4.556,10","4.747,21","4.551,25","34,74M","0,00%"
"Juill 1995","4.708,47","4.552,98","4.747,21","4.551,25","665,57M","3,34%"
"Juin 1995","4.556,09","4.457,19","4.593,10","4.406,69","632,14M","2,04%"
"Mai 1995","4.465,14","4.316,43","4.465,14","4.301,56","689,94M","3,33%"
"Avr 1995","4.321,27","4.157,70","4.328,53","4.155,96","30,38M","0,00%"
"Avr 1995","4.321,27","4.159,42","4.328,53","4.155,96","547,54M","3,93%"
"Mar 1995","4.157,69","3.992,03","4.198,84","3.945,69","702,57M","3,66%"
"Févr 1995","4.011,05","3.850,25","4.021,23","3.831,41","539,85M","4,35%"
"Jan 1995","3.843,86","3.834,40","3.936,72","3.817,26","31,18M","0,00%"
"Jan 1995","3.843,86","3.831,41","3.936,72","3.817,26","615,77M","0,25%"
"Déc 1994","3.834,44","3.733,51","3.866,40","3.655,11","533,41M","2,55%"
"Nov 1994","3.739,22","3.892,98","3.907,78","3.638,83","613,28M","-4,32%"
"Oct 1994","3.908,12","3.843,20","3.949,84","3.747,97","31,82M","0,00%"
"Oct 1994","3.908,12","3.850,59","3.949,84","3.747,97","636,27M","1,69%"
"Sept 1994","3.843,18","3.899,50","3.953,88","3.820,21","591,49M","-1,79%"
"Août 1994","3.913,42","3.767,09","3.939,32","3.736,33","625,18M","3,96%"
"Juill 1994","3.764,50","3.654,42","3.770,00","3.623,02","450,82M","3,85%"
"Juin 1994","3.624,96","3.753,14","3.823,39","3.610,40","537,00M","-3,55%"
"Mai 1994","3.758,37","3.681,70","3.772,79","3.623,10","26,34M","0,00%"
"Mai 1994","3.758,37","3.683,77","3.772,79","3.623,10","505,57M","2,08%"
"Avr 1994","3.681,69","3.634,50","3.710,84","3.552,47","30,98M","0,00%"
"Avr 1994","3.681,69","3.552,18","3.710,84","3.552,18","566,70M","1,26%"
"Mar 1994","3.635,96","3.828,93","3.895,94","3.559,09","667,47M","-5,12%"
"Févr 1994","3.832,02","3.976,67","3.982,02","3.826,39","508,57M","-3,68%"
"Jan 1994","3.978,36","3.754,10","3.985,96","3.742,81","30,76M","0,00%"
"Jan 1994","3.978,36","3.751,57","3.985,96","3.742,81","619,54M","5,97%"
"Déc 1993","3.754,09","3.707,70","3.799,92","3.685,06","501,36M","1,90%"
"Nov 1993","3.683,95","3.673,33","3.717,76","3.600,67","566,68M","0,09%"
"Oct 1993","3.680,59","3.557,36","3.708,82","3.553,72","529,13M","3,53%"
"Sept 1993","3.555,12","3.642,31","3.655,72","3.507,06","487,80M","-2,63%"
"Août 1993","3.651,25","3.539,50","3.663,83","3.536,96","24,83M","0,00%"
"Août 1993","3.651,25","3.542,55","3.663,83","3.536,96","526,61M","3,16%"
"Juill 1993","3.539,47","3.520,51","3.583,90","3.449,93","500,96M","0,67%"
"Juin 1993","3.516,08","3.534,07","3.569,78","3.462,66","461,15M","-0,32%"
"Mai 1993","3.527,43","3.439,44","3.565,07","3.415,33","24,52M","0,00%"
"Mai 1993","3.527,43","3.435,65","3.565,07","3.415,33","472,65M","2,91%"
"Avr 1993","3.427,55","3.444,57","3.481,58","3.363,79","645,98M","-0,22%"
"Mar 1993","3.435,11","3.380,81","3.482,12","3.343,26","586,10M","1,91%"
"Févr 1993","3.370,81","3.315,16","3.456,73","3.266,80","577,51M","1,84%"
"Jan 1993","3.310,00","3.301,10","3.320,83","3.231,95","32,10M","-0,00%"
"Jan 1993","3.310,03","3.312,46","3.320,83","3.231,95","620,03M","0,27%"
"Déc 1992","3.301,11","3.299,22","3.352,71","3.248,16","510,28M","-0,12%"
"Nov 1992","3.305,20","3.226,30","3.308,41","3.184,67","23,77M","0,00%"
"Nov 1992","3.305,16","3.224,12","3.308,41","3.184,67","452,35M","2,44%"
"Oct 1992","3.226,28","3.279,23","3.280,85","3.095,79","523,78M","-1,39%"
"Sept 1992","3.271,66","3.254,64","3.376,49","3.233,84","436,55M","0,44%"
"Août 1992","3.257,40","3.393,80","3.399,99","3.207,10","134,60K","0,00%"
"Août 1992","3.257,35","3.385,40","3.399,99","3.207,10","363,36M","-4,02%"
"Juill 1992","3.393,78","3.323,87","3.402,96","3.266,53","442,09M","2,27%"
"Juin 1992","3.318,52","3.388,58","3.422,28","3.254,05","475,50M","-2,31%"
"Mai 1992","3.396,88","3.355,99","3.420,21","3.324,02","373,46M","1,12%"
"Avr 1992","3.359,12","3.220,04","3.366,50","3.161,23","441,52M","3,82%"
"Mar 1992","3.235,50","3.267,70","3.299,64","3.188,28","18,98M","0,00%"
"Mar 1992","3.235,47","3.270,80","3.299,64","3.188,28","402,15M","-0,99%"
"Févr 1992","3.267,70","3.223,40","3.293,38","3.207,96","22,58M","0,00%"
"Févr 1992","3.267,67","3.219,81","3.293,38","3.207,96","411,16M","1,37%"
"Jan 1992","3.223,40","3.152,10","3.299,19","3.139,31","26,44M","0,00%"
"Jan 1992","3.223,39","3.152,06","3.299,19","3.139,31","556,36M","1,72%"
"Déc 1991","3.168,83","2.866,28","3.204,61","2.832,29","22,95M","0,00%"
"Déc 1991","3.168,83","2.893,11","3.188,05","2.839,44","455,16M","9,47%"
"Nov 1991","2.894,68","3.068,64","3.082,06","2.868,96","386,03M","-5,68%"
"Oct 1991","3.069,10","3.017,66","3.077,37","2.938,28","452,96M","1,73%"
"Sept 1991","3.016,77","3.042,04","3.066,64","2.963,10","19,42M","0,00%"
"Sept 1991","3.016,77","3.043,82","3.060,82","2.972,71","372,74M","-0,88%"
"Août 1991","3.043,60","3.024,37","3.057,91","2.859,57","424,05M","0,62%"
"Juill 1991","3.024,82","2.906,75","3.029,96","2.906,75","368,38M","4,06%"
"Juin 1991","2.906,75","3.023,03","3.057,47","2.879,25","20,16M","0,00%"
"Juin 1991","2.906,75","3.027,50","3.036,00","2.883,72","384,15M","-3,99%"
"Mai 1991","3.027,50","2.887,87","3.027,50","2.840,34","426,85M","4,84%"
"Avr 1991","2.887,87","2.913,86","3.017,57","2.854,95","462,65M","-0,89%"
"Mar 1991","2.913,86","2.882,18","3.002,72","2.843,56","466,00M","1,10%"
"Févr 1991","2.882,18","2.737,38","2.939,85","2.706,44","538,65M","5,33%"
"Jan 1991","2.736,39","2.627,23","2.747,28","2.447,03","22,23M","0,00%"
"Jan 1991","2.736,39","2.633,66","2.736,38","2.457,67","475,02M","3,90%"
"Déc 1990","2.633,66","2.572,27","2.662,62","2.534,65","18,38M","0,00%"
"Déc 1990","2.633,66","2.559,65","2.648,51","2.539,11","354,89M","2,89%"
"Nov 1990","2.559,65","2.442,08","2.572,77","2.421,29","383,25M","4,80%"
"Oct 1990","2.442,33","2.452,23","2.550,25","2.354,21","483,00M","-0,41%"
"Sept 1990","2.452,48","2.590,84","2.665,35","2.367,82","20,45M","0,00%"
"Sept 1990","2.452,48","2.614,36","2.653,96","2.379,70","363,30M","-6,19%"
"Août 1990","2.614,36","2.905,45","2.920,54","2.478,71","591,41M","-10,01%"
"Juill 1990","2.905,20","2.883,17","3.024,26","2.833,17","21,17M","0,00%"
"Juill 1990","2.905,20","2.880,69","3.010,64","2.852,72","422,42M","0,85%"
"Juin 1990","2.880,69","2.878,40","2.948,54","2.832,18","431,04M","0,14%"
"Mai 1990","2.876,66","2.656,76","2.894,92","2.656,76","438,96M","8,28%"
"Avr 1990","2.656,76","2.684,01","2.793,47","2.627,70","16,82M","0,00%"
"Avr 1990","2.656,76","2.706,76","2.782,88","2.634,01","422,22M","-1,86%"
"Mar 1990","2.707,21","2.627,70","2.768,24","2.618,47","428,16M","3,04%"
"Févr 1990","2.627,25","2.590,32","2.664,86","2.548,42","354,11M","1,42%"
"Jan 1990","2.590,54","2.748,72","2.834,04","2.513,06","22,61M","0,00%"
"Jan 1990","2.590,54","2.753,41","2.822,95","2.519,14","474,84M","-5,91%"
"Déc 1989","2.753,20","2.706,27","2.772,40","2.666,38","371,31M","1,73%"
"Nov 1989","2.706,27","2.645,08","2.711,18","2.569,67","360,16M","2,31%"
"Oct 1989","2.645,08","2.692,82","2.809,08","2.496,93","25,86M","0,00%"
"Oct 1989","2.645,08","2.692,63","2.795,97","2.504,92","546,49M","-1,77%"
"Sept 1989","2.692,82","2.737,27","2.760,26","2.651,22","365,59M","-1,62%"
"Août 1989","2.737,27","2.660,66","2.748,10","2.626,52","478,21M","2,88%"
"Juill 1989","2.660,66","2.448,79","2.668,25","2.431,53","19,14M","0,00%"
"Juill 1989","2.660,66","2.440,06","2.660,66","2.436,84","363,47M","9,04%"
"Juin 1989","2.440,06","2.479,78","2.535,28","2.418,82","517,36M","-1,62%"
"Mai 1989","2.480,15","2.418,44","2.515,40","2.359,97","461,34M","2,54%"
"Avr 1989","2.418,80","2.296,19","2.433,10","2.282,07","19,33M","0,00%"
"Avr 1989","2.418,80","2.296,19","2.425,95","2.285,56","369,27M","5,46%"
"Mar 1989","2.293,62","2.258,39","2.347,14","2.237,32","407,63M","1,56%"
"Févr 1989","2.258,39","2.344,82","2.360,36","2.238,21","394,56M","-3,58%"
"Jan 1989","2.342,32","2.163,21","2.350,18","2.127,14","22,18M","0,00%"
"Jan 1989","2.342,32","2.168,39","2.344,82","2.131,79","437,80M","8,01%"
"Déc 1988","2.168,57","2.114,33","2.188,04","2.084,28","302,48M","2,56%"
"Nov 1988","2.114,51","2.148,65","2.178,70","2.028,98","332,30M","-1,59%"
"Oct 1988","2.148,65","2.110,77","2.195,06","2.082,33","19,39M","0,00%"
"Oct 1988","2.148,65","2.112,73","2.185,81","2.086,42","387,84M","1,69%"
"Sept 1988","2.112,91","2.031,65","2.136,02","1.996,98","331,31M","4,00%"
"Août 1988","2.031,65","2.128,73","2.145,45","1.984,71","367,40M","-4,56%"
"Juill 1988","2.128,73","2.141,71","2.165,01","2.052,63","318,92M","-0,61%"
"Juin 1988","2.141,71","2.030,76","2.162,52","2.027,20","486,09M","5,44%"
"Mai 1988","2.031,12","2.032,16","2.071,95","1.921,58","20,30M","0,00%"
"Mai 1988","2.031,12","2.032,16","2.065,82","1.925,56","405,22M","-0,06%"
"Avr 1988","2.032,33","1.989,89","2.121,35","1.968,00","21,53M","0,00%"
"Avr 1988","2.032,33","1.987,73","2.115,22","1.972,48","413,58M","2,23%"
"Mar 1988","1.988,06","2.070,29","2.100,46","1.960,05","431,71M","-4,03%"
"Févr 1988","2.071,62","1.958,39","2.073,28","1.886,27","464,33M","5,79%"
"Jan 1988","1.958,22","1.952,59","2.075,27","1.845,99","22,82M","0,00%"
"Jan 1988","1.958,22","1.938,83","2.066,15","1.850,96","432,97M","1,00%"
"Déc 1987","1.938,83","1.834,38","2.010,11","1.745,19","21,48M","5,74%"
"Nov 1987","1.833,55","1.972,65","2.027,52","1.795,26","23,36M","0,00%"
"Nov 1987","1.833,55","1.994,20","2.016,08","1.799,73","-","-8,02%"
"Oct 1987","1.993,53","2.596,12","2.651,76","1.616,21","39,50M","-23,22%"
"Sept 1987","2.596,28","2.662,95","2.688,78","2.476,01","23,27M","-2,50%"
"Août 1987","2.662,95","2.547,83","2.746,65","2.525,99","25,00M","0,00%"
"Août 1987","2.662,95","2.571,91","2.736,61","2.532,05","-","3,53%"
"Juill 1987","2.572,07","2.418,37","2.574,94","2.404,18","23,26M","6,35%"
"Juin 1987","2.418,53","2.291,41","2.457,11","2.266,38","20,20M","5,54%"
"Mai 1987","2.291,57","2.285,37","2.369,95","2.197,99","24,63M","0,23%"
"Avr 1987","2.286,36","2.304,69","2.422,16","2.193,32","28,08M","-0,80%"
"Mar 1987","2.304,69","2.228,21","2.399,57","2.209,08","20,89M","0,00%"
"Mar 1987","2.304,69","2.223,57","2.387,36","2.215,27","-","3,63%"
"Févr 1987","2.223,99","2.152,98","2.266,45","2.134,42","106,40K","0,00%"
"Févr 1987","2.223,99","2.157,20","2.256,61","2.141,59","-","3,06%"
"Jan 1987","2.158,04","1.900,59","2.214,57","1.897,36","26,85M","0,00%"
"Jan 1987","2.158,04","1.895,11","2.210,07","1.894,97","-","13,82%"